(2037.24,2298.55) , (2012.89,2303.23)
(3019.33,1079.05) , (3009.16,948.68)
(3019.33,1079.05) , (2933.58,1087.15)
(3019.33,1079.05) , (3104.48,1073.47)
(3083.90,588.85) , (3089.64,667.31)
(3083.90,588.85) , (3190.13,582.20)
(3083.90,588.85) , (2906.48,599.14)
(3083.90,588.85) , (3077.40,484.12)
(3307.01,669.95) , (3293.50,731.79)
(3307.01,669.95) , (3359.20,437.98)
(2560.99,2045.02) , (2541.14,2107.06)
(2560.99,2045.02) , (2664.32,2014.80)
(2560.99,2045.02) , (2553.23,1948.75)
(2560.99,2045.02) , (2321.59,2068.64)
(758.88,2326.15) , (791.96,2386.25)
(758.88,2326.15) , (719.67,2263.58)
(758.88,2326.15) , (848.74,2267.72)
(2926.08,954.04) , (2933.58,1087.15)
(2926.08,954.04) , (2845.10,959.35)
(2926.08,954.04) , (3009.16,948.68)
(2926.08,954.04) , (2921.75,937.59)
(1003.46,2367.84) , (1178.67,2349.33)
(1003.46,2367.84) , (978.34,2488.78)
(1003.46,2367.84) , (1055.49,2124.45)
(3144.87,128.22) , (3168.87,147.44)
(3144.87,128.22) , (3142.34,120.03)
(2030.77,768.66) , (2016.30,773.81)
(2030.77,768.66) , (2130.86,754.72)
(2030.77,768.66) , (2018.71,687.65)
(2036.24,2071.01) , (1957.95,2129.12)
(2036.24,2071.01) , (2084.06,2136.80)
(2036.24,2071.01) , (1993.46,2009.85)
(2036.24,2071.01) , (2156.83,1984.61)
(2597.70,618.38) , (2583.02,623.41)
(2597.70,618.38) , (2623.19,595.05)
(2955.56,1686.53) , (2878.54,1667.70)
(2955.56,1686.53) , (2984.72,1713.19)
(1852.99,2330.36) , (1650.96,2396.85)
(1852.99,2330.36) , (1825.62,2243.30)
(1852.99,2330.36) , (1913.79,2508.27)
(1852.99,2330.36) , (1864.23,2324.22)
(2614.19,942.34) , (2611.98,906.24)
(2614.19,942.34) , (2637.57,940.14)
(3070.16,385.57) , (3175.92,378.12)
(3070.16,385.57) , (3077.40,484.12)
(3070.16,385.57) , (2892.25,397.88)
(2335.16,1401.60) , (2412.93,1510.66)
(2335.16,1401.60) , (2207.06,1492.18)
(2335.16,1401.60) , (2393.14,1360.63)
(2335.16,1401.60) , (2272.89,1313.91)
(1614.54,92.66) , (1663.49,168.79)
(1614.54,92.66) , (1584.18,37.12)
(2075.58,1455.78) , (2144.45,1406.07)
(2075.58,1455.78) , (2017.28,1497.85)
(2422.06,2494.99) , (2351.99,2513.56)
(2422.06,2494.99) , (2521.18,2469.83)
(2422.06,2494.99) , (2413.80,2459.46)
(1054.87,1465.71) , (1138.87,1456.86)
(1054.87,1465.71) , (878.88,1477.29)
(2555.70,1081.22) , (2529.87,1052.08)
(3098.29,321.07) , (3172.06,316.30)
(3098.29,321.07) , (3091.09,226.89)
(2093.69,2449.61) , (2039.15,2460.64)
(2093.69,2449.61) , (2111.86,2441.22)
(929.01,499.24) , (950.54,583.15)
(929.01,499.24) , (935.51,485.40)
(151.05,1653.31) , (157.54,1678.65)
(151.05,1653.31) , (140.47,1634.27)
(3196.94,935.43) , (3109.89,941.92)
(3196.94,935.43) , (3196.29,956.88)
(3196.94,935.43) , (3198.03,898.97)
(670.53,538.75) , (703.40,531.34)
(670.53,538.75) , (653.33,549.99)
(2164.27,2303.66) , (2162.42,2376.39)
(2164.27,2303.66) , (2208.08,2328.81)
(2164.27,2303.66) , (2151.09,2302.13)
(2164.27,2303.66) , (2174.11,2270.89)
(0.00,1548.10) , (45.22,1513.90)
(1938.10,704.51) , (1951.12,720.24)
(1938.10,704.51) , (1905.69,640.67)
(1500.52,603.21) , (1563.04,682.80)
(1500.52,603.21) , (1419.74,659.49)
(1500.52,603.21) , (1545.46,543.33)
(2319.58,2077.77) , (2254.43,2174.64)
(2319.58,2077.77) , (2321.59,2068.64)
(1929.49,331.49) , (1917.59,353.06)
(1929.49,331.49) , (1931.84,317.13)
(3127.75,1849.44) , (3128.08,1849.58)
(3127.75,1849.44) , (3115.84,1844.34)
(3127.75,1849.44) , (3132.88,1835.19)
(3127.75,1849.44) , (3123.18,1862.18)
(1836.42,2239.50) , (1825.62,2243.30)
(1836.42,2239.50) , (1864.23,2324.22)
(1836.42,2239.50) , (1929.98,2229.37)
(1836.42,2239.50) , (1815.55,2176.28)
(1513.43,1088.60) , (1496.19,1106.93)
(1513.43,1088.60) , (1574.28,1044.90)
(3185.91,2623.20) , (3178.09,2629.14)
(3185.91,2623.20) , (3198.02,2607.28)
(3198.03,898.97) , (3196.94,935.43)
(3198.03,898.97) , (3204.44,888.68)
(2963.23,1830.44) , (2891.74,1855.53)
(2963.23,1830.44) , (2990.67,1798.24)
(2963.23,1830.44) , (2886.04,1759.76)
(3412.08,2402.79) , (3410.66,2390.81)
(3412.08,2402.79) , (3411.07,2420.49)
(3037.81,2034.19) , (3019.23,2030.27)
(3037.81,2034.19) , (3051.57,2042.93)
(500.85,2200.82) , (516.03,2221.84)
(1682.68,767.83) , (1613.42,813.42)
(1682.68,767.83) , (1701.65,795.55)
(1682.68,767.83) , (1709.94,748.39)
(3743.41,1235.57) , (3747.02,1264.11)
(3743.41,1235.57) , (3754.73,1161.11)
(3660.20,970.82) , (3588.43,974.53)
(3660.20,970.82) , (3742.80,1005.02)
(2018.71,687.65) , (2030.77,768.66)
(2018.71,687.65) , (1982.74,716.17)
(2197.75,2408.53) , (2199.04,2418.24)
(2197.75,2408.53) , (2211.40,2361.97)
(1936.42,1386.23) , (2017.28,1497.85)
(1936.42,1386.23) , (1797.61,1485.18)
(1936.42,1386.23) , (1875.21,1300.78)
(1936.42,1386.23) , (2063.75,1293.53)
(3114.04,1880.03) , (3123.18,1862.18)
(756.55,2138.63) , (673.48,2195.16)
(756.55,2138.63) , (739.72,2115.01)
(756.55,2138.63) , (938.44,2006.02)
(1735.25,2666.17) , (1720.11,2611.47)
(1735.25,2666.17) , (1730.37,2679.41)
(859.82,1245.70) , (868.74,1251.03)
(859.82,1245.70) , (836.20,1202.24)
(859.82,1245.70) , (803.32,1244.20)
(1311.31,306.84) , (1443.60,328.15)
(1311.31,306.84) , (1249.24,296.12)
(1311.31,306.84) , (1326.08,208.00)
(1675.25,190.00) , (1720.40,263.28)
(1675.25,190.00) , (1663.49,168.79)
(2998.21,303.60) , (2999.84,324.32)
(2998.21,303.60) , (2997.41,279.06)
(3054.00,1947.81) , (3037.79,2001.68)
(3054.00,1947.81) , (2951.41,1920.25)
(3054.00,1947.81) , (3071.25,1884.88)
(2704.45,1131.68) , (2706.42,1167.39)
(2704.45,1131.68) , (2702.45,1095.34)
(2704.45,1131.68) , (2794.67,1125.89)
(2704.45,1131.68) , (2655.35,1135.14)
(3919.41,1425.69) , (3879.03,1432.84)
(3919.41,1425.69) , (3950.48,1411.74)
(81.88,1819.94) , (67.56,1794.61)
(81.88,1819.94) , (131.67,1880.29)
(2040.93,1089.98) , (1959.77,1147.80)
(2040.93,1089.98) , (2059.52,1113.78)
(2040.93,1089.98) , (1961.44,975.58)
(3754.73,1161.11) , (3743.41,1235.57)
(3754.73,1161.11) , (3598.91,1170.11)
(3754.73,1161.11) , (3747.01,1063.75)
(3170.68,293.27) , (3172.06,316.30)
(3170.68,293.27) , (3256.34,285.49)
(1986.72,2422.42) , (2018.09,2447.96)
(1986.72,2422.42) , (1973.55,2408.48)
(3095.66,1781.54) , (3090.78,1760.98)
(3095.66,1781.54) , (3104.43,1791.54)
(3095.66,1781.54) , (3097.35,1802.65)
(3089.64,667.31) , (3096.04,746.64)
(3089.64,667.31) , (3195.34,660.15)
(3089.64,667.31) , (3083.90,588.85)
(3089.64,667.31) , (3033.45,670.90)
(1117.47,1861.23) , (1151.84,1787.53)
(1117.47,1861.23) , (1093.99,1889.66)
(3670.32,424.55) , (3378.77,366.92)
(1723.76,268.44) , (1745.90,260.20)
(1723.76,268.44) , (1757.04,332.07)
(1723.76,268.44) , (1720.40,263.28)
(1178.67,2349.33) , (1190.12,2320.00)
(1178.67,2349.33) , (1003.46,2367.84)
