0	263
1	219
2	155
3	87
4	56
5	43
6	24
7	31
8	20
9	27
10	24
11	15
12	10
13	15
14	7
15	17
16	12
17	13
18	10
19	14
20	7
21	9
22	5
23	9
24	7
25	4
26	6
27	4
28	6
29	0
30	3
31	2
32	1
33	3
34	3
35	1
36	4
37	1
38	4
39	3
40	1
41	0
42	2
43	2
44	1
45	2
46	1
47	0
48	1
49	4
50	1
51	0
52	1
53	2
54	1
55	0
56	0
57	0
58	1
59	0
60	0
61	0
62	0
63	1
64	1
65	0
66	0
67	0
68	1
69	0
70	1
71	1
72	0
73	0
74	0
75	0
76	0
77	1
78	1
79	0
80	0
81	0
82	1
83	0
84	1
85	0
86	0
87	0
88	0
89	0
90	1
