0	131	48
1	129	49
2	2	2
3	0	0
4	7	6
5	2	2
6	15	8
7	15	7
8	1	1
9	2	2
10	8	5
11	1	1
12	0	0
13	1	1
14	33	31
15	1	1
16	5	5
17	0	0
18	1	1
19	1	1
20	0	0
21	1	1
22	1	1
23	19	11
24	0	0
25	1	1
26	0	0
27	9	6
28	12	9
29	0	0
30	1	1
31	3	3
32	5	4
33	10	8
34	1	1
35	7	7
36	0	0
37	13	9
38	2	2
39	12	7
40	0	0
41	0	0
42	0	0
43	0	0
44	21	18
45	6	4
46	0	0
47	3	2
48	2	2
49	1	1
50	15	12
51	3	3
52	1	1
53	7	7
54	2	2
55	1	1
56	11	6
57	8	6
58	0	0
59	6	5
60	0	0
61	14	7
62	11	6
63	2	2
64	0	0
65	0	0
66	1	1
67	4	4
68	6	4
69	0	0
70	5	4
71	15	8
72	22	20
73	1	1
74	5	3
75	5	3
76	4	4
77	7	4
78	1	1
79	1	1
80	5	4
81	2	2
82	1	1
83	0	0
84	3	1
85	2	2
86	1	1
87	0	0
88	1	1
89	6	6
90	0	0
91	0	0
92	26	22
93	0	0
94	1	1
95	12	8
96	1	1
97	0	0
98	0	0
99	1	1
100	1	1
101	15	10
102	1	1
103	1	1
104	22	19
105	3	3
106	4	4
107	5	5
108	7	4
109	6	5
110	0	0
111	3	1
112	2	2
113	14	7
114	0	0
115	6	5
116	5	4
117	2	2
118	15	9
119	0	0
120	3	3
121	2	1
122	15	8
123	1	1
124	11	8
125	7	7
126	29	22
127	3	3
128	2	2
129	3	3
130	0	0
131	7	5
132	0	0
133	11	3
134	1	1
135	0	0
136	19	19
137	10	10
138	0	0
139	14	10
140	1	1
141	0	0
142	3	3
143	3	3
144	0	0
145	0	0
146	0	0
147	10	8
148	1	1
149	1	1
150	2	2
151	0	0
152	124	48
153	125	45
154	1	1
155	44	31
156	15	9
157	0	0
158	1	1
159	0	0
160	27	24
161	0	0
162	50	39
163	9	8
164	0	0
165	0	0
166	4	4
167	0	0
168	0	0
169	2	2
170	5	5
171	0	0
172	21	14
173	5	3
174	0	0
175	2	2
176	15	5
177	8	4
178	0	0
179	17	12
180	0	0
181	1	1
182	0	0
183	0	0
184	3	2
185	8	8
186	5	3
187	0	0
188	7	4
189	4	4
190	6	3
191	3	3
192	0	0
193	10	8
194	0	0
195	0	0
196	2	2
197	9	6
198	15	9
199	16	6
200	0	0
201	0	0
202	1	1
203	0	0
204	90	39
205	83	40
206	0	0
207	0	0
208	0	0
209	29	17
210	0	0
211	0	0
212	4	3
213	7	5
214	0	0
215	0	0
216	0	0
217	10	5
218	0	0
219	5	5
220	1	1
221	0	0
222	6	6
223	0	0
224	1	1
225	14	9
226	1	1
227	0	0
228	1	1
229	0	0
230	2	1
231	10	5
232	0	0
233	0	0
234	1	1
235	6	3
236	0	0
237	2	2
238	0	0
239	0	0
240	0	0
241	3	2
242	0	0
243	5	3
244	0	0
245	13	13
246	6	3
247	0	0
248	1	1
249	0	0
250	20	12
251	0	0
252	1	1
253	0	0
254	0	0
255	0	0
256	0	0
257	1	1
258	0	0
259	9	4
260	5	5
261	0	0
262	1	1
263	0	0
264	0	0
265	2	2
266	0	0
267	0	0
268	12	5
269	23	22
270	0	0
271	4	4
272	0	0
273	2	1
274	1	1
275	1	1
276	0	0
277	0	0
278	0	0
279	1	1
280	3	2
281	0	0
282	0	0
283	15	14
284	0	0
285	3	3
286	0	0
287	5	5
288	3	3
289	6	3
290	6	3
291	0	0
292	0	0
293	2	2
294	0	0
295	4	3
296	0	0
297	0	0
298	0	0
299	1	1
300	0	0
301	15	10
302	0	0
303	3	3
304	4	4
305	2	1
306	127	37
307	127	38
308	38	25
309	0	0
310	0	0
311	7	5
312	53	33
313	1	1
314	0	0
315	1	1
316	0	0
317	7	5
318	13	6
319	5	3
320	0	0
321	0	0
322	13	13
323	0	0
324	30	26
325	0	0
326	13	6
327	0	0
328	15	7
329	0	0
330	1	1
331	0	0
332	2	2
333	1	1
334	4	2
335	1	1
336	0	0
337	6	4
338	0	0
339	0	0
340	1	1
341	0	0
342	0	0
343	12	10
344	13	11
345	0	0
346	4	4
347	1	1
348	16	8
349	0	0
350	0	0
351	13	10
352	12	10
353	9	9
354	7	6
355	6	4
356	21	21
357	15	7
358	1	1
359	1	1
360	5	4
361	0	0
362	0	0
363	0	0
364	14	12
365	1	1
366	2	2
367	0	0
368	0	0
369	1	1
370	1	1
371	14	6
372	0	0
373	2	2
374	0	0
375	6	6
376	2	2
377	6	5
378	1	1
379	19	17
380	0	0
381	0	0
382	2	2
383	0	0
384	0	0
385	2	2
386	0	0
387	2	1
388	0	0
389	15	7
390	3	2
391	0	0
392	0	0
393	0	0
394	0	0
395	3	2
396	0	0
397	4	4
398	0	0
399	0	0
400	0	0
401	1	1
402	1	1
403	1	1
404	2	2
405	2	2
406	3	2
407	3	3
408	95	48
409	102	49
410	17	16
411	0	0
412	5	3
413	0	0
414	1	1
415	9	6
416	0	0
417	0	0
418	0	0
419	4	4
420	0	0
421	0	0
422	5	5
423	7	4
424	11	4
425	5	5
426	2	2
427	0	0
428	0	0
429	1	1
430	9	7
431	0	0
432	8	5
433	6	3
434	7	5
435	4	3
436	5	3
437	3	3
438	0	0
439	1	1
440	16	6
441	0	0
442	7	5
443	4	3
444	15	5
445	3	3
446	0	0
447	0	0
448	10	7
449	0	0
450	7	7
451	13	4
452	0	0
453	0	0
454	15	5
455	1	1
456	0	0
457	1	1
458	0	0
459	0	0
460	0	0
461	1	1
462	5	5
463	2	2
464	1	1
465	2	2
466	0	0
467	1	1
468	0	0
469	0	0
470	6	6
471	11	8
472	2	2
473	3	3
474	1	1
475	8	8
476	10	8
477	1	1
478	0	0
479	4	4
480	8	8
481	1	1
482	5	5
483	0	0
484	9	7
485	0	0
486	19	9
487	2	2
488	8	5
489	4	3
490	10	7
491	6	5
492	2	2
493	0	0
494	8	5
495	0	0
496	0	0
497	24	21
498	0	0
499	0	0
500	15	5
501	5	2
502	6	4
503	0	0
504	11	8
505	8	5
506	0	0
507	11	6
508	0	0
509	6	6
510	81	47
511	81	47
512	6	3
513	0	0
514	0	0
515	0	0
516	2	2
517	2	1
518	1	1
519	0	0
520	2	2
521	10	7
522	2	2
523	0	0
524	1	1
525	0	0
526	3	2
527	1	1
528	0	0
529	18	18
530	4	4
531	0	0
532	1	1
533	0	0
534	9	4
535	1	1
536	11	6
537	0	0
538	6	3
539	6	3
540	0	0
541	16	10
542	13	8
543	1	1
544	5	4
545	0	0
546	0	0
547	0	0
548	5	5
549	0	0
550	1	1
551	0	0
552	1	1
553	3	2
554	0	0
555	3	2
556	14	7
557	0	0
558	0	0
559	3	3
560	1	1
561	0	0
562	11	10
563	3	2
564	4	4
565	0	0
566	1	1
567	0	0
568	3	2
569	0	0
570	0	0
571	2	2
572	0	0
573	0	0
574	0	0
575	11	7
576	5	5
577	15	11
578	0	0
579	0	0
580	0	0
581	0	0
582	14	9
583	1	1
584	1	1
585	1	1
586	0	0
587	3	2
588	3	2
589	0	0
590	3	3
591	0	0
592	0	0
593	0	0
594	2	2
595	31	25
596	1	1
597	4	3
598	3	2
599	27	15
