0	402
1	338
2	303
3	196
4	145
5	94
6	49
7	43
8	45
9	44
10	41
11	24
12	39
13	33
14	40
15	21
16	16
17	24
18	26
19	19
20	29
21	21
22	17
23	19
24	29
25	16
26	10
27	13
28	17
29	19
30	13
31	13
32	16
33	20
34	16
35	16
36	19
37	6
38	11
39	9
40	11
41	14
42	11
43	10
44	8
45	6
46	7
47	8
48	6
49	11
50	11
51	10
52	10
53	6
54	11
55	10
56	4
57	9
58	5
59	2
60	7
61	3
62	7
63	5
64	1
65	5
66	5
67	2
68	6
69	3
70	3
71	4
72	5
73	0
74	2
75	1
76	0
77	0
78	1
79	1
80	0
81	1
82	0
83	1
84	0
85	0
86	1
87	1
88	2
89	0
90	1
91	0
92	1
93	0
94	1
95	2
96	1
97	0
98	1
99	0
100	1
101	0
102	1
103	1
